amenity,name,city,longitude,latitude,address
Hospital,Columbia Basin Hospital,Ephrata,-119.5467757,47.3145882,200 Nat Washington Way
Hospital,Dayton General Hospital,Dayton,-117.9702539,46.31210477,1012 S 3rd St
Hospital,Forks Community Hospital,Forks,-124.392588,47.94620735,530 Bogachiel Way
Hospital,Harbor Regional Health,Aberdeen,-123.847186,46.97923558,915 Anderson Dr
Hospital,Island Health - Main Campus,Anacortes,-122.6156668,48.50192875,1211 24th St
Hospital,Jefferson Healthcare Medical Center,Port Townsend,-122.7892732,48.10604332,834 Sheridan St
Hospital,Kadlec Regional Medical Center,Richland,-119.281956,46.28134338,888 Swift Blvd
Hospital,Lincoln Hospital,Davenport,-118.1453598,47.65792772,10 Nicholls St
Hospital,Providence Mount Carmel Hospital,Colville,-117.8927485,48.54067179,982 E Columbia Ave
Hospital,Olympic Medical Center,Port Angeles,-123.4150271,48.11555567,939 Caroline St
Hospital,PeaceHealth St. Joseph Medical Center,Bellingham,-122.4731864,48.77331595,2901 Squalicum Parkway
Hospital,Samaritan Healthcare,Moses Lake,-119.2651887,47.12816325,801 E. Wheeler Rd
Hospital,Astria Sunnyside Hospital ,Sunnyside,-120.0066818,46.32247961,1016 Tacoma Avenue
Hospital,Tri-State Health,Clarkston,-117.0543594,46.40286173,1221 Highland Ave
Hospital,MultiCare Mary Bridge Children's Hospital,Tacoma,-122.4546342,47.25971667,317 Martin Luther King Jr Way
Hospital,WhidbeyHealth,Coupeville,-122.6843268,48.2138933,101 North Main Street
Hospital,Virginia Mason Medical Center,Seattle,-122.3279739,47.6088249,1100 Ninth Avenue
Hospital,MultiCare Capital Medical Center,Olympia,-122.9517868,47.04273091,3900 Capital Mall Dr SW
Hospital,Lourdes Counseling Center,Richland,-119.2813075,46.28312741,1175 Carondelet Drive
Hospital,Swedish Ballard,Seattle,-122.3795497,47.66737354,5300 Tallman Ave NW
Hospital,VA Puget Sound Health Care,Seattle,-122.3080257,47.56323103,1660 S. Columbian Way
Hospital,UW Medicine - Harborview Medical Center,Seattle,-122.3239889,47.60386014,325 Ninth Ave
Hospital,UW Medicine - UW Medical Center Northwest ,Seattle,-122.3388513,47.71334434,1550 North 115th St
Hospital,Overlake Medical Center ,Bellevue,-122.1871752,47.62049135,1035 116th Ave NE
Hospital,MultiCare Yakima Memorial,Yakima,-120.5479466,46.59374521,2811 Tieton Drive
Hospital,Fairfax Behavioral Health - Kirkland,Kirkland,-122.2042734,47.71912215,10200 NE 132nd St
Hospital,EvergreenHealth Monroe,Monroe,-121.9897997,47.86421991,14701 179th Ave SE
Hospital,MultiCare Good Samaritan Hospital,Puyallup,-122.28953,47.17918,401 15th Ave SE
Hospital,Swedish Cherry Hill,Seattle,-122.3105979,47.60772122,500 17th Ave
Hospital,St. Elizabeth Hospital,Enumclaw,-121.9878448,47.20918315,1455 Battersby Avenue
Hospital,Kaiser Permanente - Central Hospital,Seattle,-122.312058,47.61998188,201 16th Avenue East
Hospital,St. Anne Hospital,Burien,-122.3432123,47.45743559,16251 Sylvester Rd SW
Hospital,Providence St. Peter Hospital ,Olympia,-122.8473864,47.05294191,413 Lilly Rd NE
Hospital,St. Clare Hospital,Lakewood,-122.50204,47.15431,11315 Bridgeport Way SW
Hospital,St. Francis Hospital ,Federal Way,-122.3273924,47.29269775,34515 9th Avenue South
Hospital,Legacy Salmon Creek Medical Center ,Vancouver,-122.6482416,45.72098352,2211 NE 139th Street
Hospital,MultiCare Allenmore Hospital,Tacoma,-122.4810546,47.24164648,1901 S. Union Ave
Hospital,St. Anthony Hospital,Gig Harbor,-122.6135502,47.36302274,11567 Canterwood Blvd NW
Hospital,Swedish Issaquah,Issaquah,-122.0218597,47.53575114,751 NE Blakely Drive
Hospital,MultiCare Tacoma General Hospital ,Tacoma,-122.4527136,47.25930659,315 Martin Luther King Jr. Way
Hospital,Peacehealth Peace Island Medical Center,Friday Harbor,-123.0278966,48.52941911,1117 Spring Street
Hospital,Summit Pacific Medical Center,Elma,-123.3929689,47.00694751,600 East Main Street
Hospital,Kindred Hospital Seattle - First Hill,Seattle,-122.3286038,47.61189364,1334 Terry Ave
Hospital,MultiCare Covington Medical Center,Covington,-122.1036731,47.35911468,17700 SE 272nd St
Hospital,Smokey Point Behavioral Hospital,Marysville,-122.1794847,48.13876015,3955 156th St NE
Hospital,Fairfax Behavioral Health - Everett,Everett,-122.2167506,47.975504,916 Pacific Ave
Hospital,Fairfax Behavioral Health - Monroe,Monroe,-121.987827,47.86335338,14701 179th Ave SE
Hospital,Rainier Springs,Vancouver,-122.64218,45.71422617,2805 NE 129th St
Hospital,Inland Northwest Behavioral Health,Spokane,-117.4143461,47.65145751,104 W 5th Ave
Hospital,Wellfound Behavioral Health Hospital,Tacoma,-122.480678,47.24180808,3402 S 19th St
Hospital,South Sound Behavioral Hospital,Lacey,-122.8276062,47.04255121,605 Woodland Square Loop SE
Hospital,Seattle Cancer Care Alliance,Seattle,-122.3297974,47.62658037,825 Eastlake Ave. E.
Hospital,Virginia Mason Franciscan Health Rehabilitation Hospital,Tacoma,-122.5199199,47.25297236,815 South Vassault Street
EMS (Emergency Medical Services),East Adams Rural Hospital,Ritzville,-118.37606,47.12793,315 East 1st
EMS (Emergency Medical Services),East Adams Rural Hospital,Washtucna,-118.31425,46.75197,175 S. Main
EMS (Emergency Medical Services),Othello Ambulance Service,Othello,-119.15525,46.83117,315 North 14 Ave
EMS (Emergency Medical Services),Asotin County FD #1,Clarkston,-117.08293,46.39561,2314 Appleside Blvd
EMS (Emergency Medical Services),Clarkston Fire Department,Clarkston,-117.04443,46.41407,820 5th St
EMS (Emergency Medical Services),Benton County FD #1,Benton City,-119.38136,46.21737,56205 E. Badger Rd
EMS (Emergency Medical Services),Benton County FD #1,Kennewick,-119.30312,46.20009,7704 S. Bermuda Rd
EMS (Emergency Medical Services),Benton County FD #1,Kennewick,-119.197,46.16778,144610 E. Law Lane
EMS (Emergency Medical Services),Benton County FD #1,Kennewick,-119.19468,46.22495,1321 N. Grant St
EMS (Emergency Medical Services),Benton County FD #1,Kennewick,-119.13816,46.18403,2700 S. Olympia St
EMS (Emergency Medical Services),Benton County FD #1,Kennewick,-119.03434,46.16498,30004 S. Finley Rd
EMS (Emergency Medical Services),Benton County FD #2,Benton City,-119.4957,46.26471,1304 Dale Ave
EMS (Emergency Medical Services),West Benton Fire and Rescue,Prosser,-119.77494,46.20877,1200 Grant Ave
EMS (Emergency Medical Services),Benton County FD #4,West Richland,-119.367474,46.313542,1400 Harrington Rd
EMS (Emergency Medical Services),Benton County FD #4,West Richland,-119.34568,46.27644,2604 Bombing Range Rd
EMS (Emergency Medical Services),Benton County FD #5,Prosser,-119.57506,46.18659,37301 W. County Well Rd
EMS (Emergency Medical Services),Benton County FD #6,Paterson,-119.60147,45.94003,48001 Prior Ave
EMS (Emergency Medical Services),Benton County FD #6,Plymouth,-119.355889,45.935796,190901 S. Nunn St
EMS (Emergency Medical Services),Kennewick Fire Department,Kennewick,-119.22015,46.22281,7400 W. Quinault Ave
EMS (Emergency Medical Services),Kennewick Fire Department,Kennewick,-119.16982,46.20539,414 N. Morain St
EMS (Emergency Medical Services),Kennewick Fire Department,Kennewick,-119.15665,46.18424,2620 W. 27th Ave
EMS (Emergency Medical Services),Kennewick Fire Department,Kennewick,-119.11869,46.20253,600 S. Auburn St
EMS (Emergency Medical Services),Richland Fire and Emergency Services,Richland,-119.30752,46.26093,2710 Duportail St
EMS (Emergency Medical Services),Richland Fire and Emergency Services,Richland,-119.28091,46.3006,1900 Jadwin Ave
EMS (Emergency Medical Services),Richland Fire and Emergency Services,Richland,-119.27301,46.28045,1000 George Washington Way
EMS (Emergency Medical Services),Richland Fire and Emergency Services,Richland,-119.26851,46.22731,710 Gage Blvd
EMS (Emergency Medical Services),Hanford Fire Department,Hanford,-119.512233,46.550645, 
EMS (Emergency Medical Services),Life Flight Network,Richland,-119.30017,46.30131,1909 Airport Way
EMS (Emergency Medical Services),PMH Medical Center EMS,Prosser,-119.7642,46.20819,723 Memorial St
EMS (Emergency Medical Services),American Medical Response,Kennewick,-119.18144,46.2124,4430 W Clearwater Ave
EMS (Emergency Medical Services),Chelan County FD #1,Wenatchee,-120.34658,47.42951,408 N. Western Ave
EMS (Emergency Medical Services),Chelan County FD #1,Wenatchee,-120.33782,47.44277,1420 Maple St
EMS (Emergency Medical Services),Chelan County FD #1,Wenatchee,-120.33489,47.47111,206 Easy St
EMS (Emergency Medical Services),Chelan County FD #1,Wenatchee,-120.31218,47.42155,136 S. Chelan Ave
EMS (Emergency Medical Services),Chelan County FD #1,Wenatchee,-120.302609,47.396023,1452 Squilchuck Rd
EMS (Emergency Medical Services),Chelan County FD #1,Wenatchee,-120.30248,47.39567,1836 S. Mission St
EMS (Emergency Medical Services),Chelan County FD #1,Malaga,-120.20409,47.3678,3760 West Malaga Rd
EMS (Emergency Medical Services),Chelan County FD #3,Leavenworth,-120.65278,47.60125,228 Chumstik Hwy
EMS (Emergency Medical Services),Chelan County FD #5,Manson,-120.16251,47.886,250 W. Manson Blvd
EMS (Emergency Medical Services),Chelan County FD #5,Manson,-120.14159,47.89985,2010 Wapato Lake Rd
EMS (Emergency Medical Services),Chelan County FD #8,Entiat,-120.21445,47.67471,2200 Entiat Way
EMS (Emergency Medical Services),Chelan County FD #9,Leavenworth,-120.66439,47.76856,19015 Beaver Valley Rd
EMS (Emergency Medical Services),Chelan County FD #9,Leavenworth,-120.66137,47.73446,21300 Cayuse St
EMS (Emergency Medical Services),Cashmere Fire Department,Cashmere,-120.46789,47.52118,101 Woodring St
EMS (Emergency Medical Services),Chelan County FD #6,Peshastin,-120.65533,47.4819,3545 Allen Ln
EMS (Emergency Medical Services),Chelan County FD #6,Peshastin,-120.60341,47.57068,8493 Main St
EMS (Emergency Medical Services),Chelan County FD #6,Dryden,-120.56076,47.54086,6817 Dryden Ave
EMS (Emergency Medical Services),Ballard Ambulance,Wenatchee,-120.3216,47.43679,1028 N. Wenatchee Ave
EMS (Emergency Medical Services),Cascade Medical Center Ambulance,Leavenworth,-120.66088,47.59436,817 Commercial St
EMS (Emergency Medical Services),Lake Chelan Community Hospital EMS,Manson,-120.16251,47.886,250 W. Manson Blvd
EMS (Emergency Medical Services),Lake Chelan Community Hospital EMS,Manson,-120.14159,47.89985,2010 Wapato Lake Rd
EMS (Emergency Medical Services),Lake Chelan Community Hospital EMS,Chelan,-120.01554,47.83881,232 E. Wapato Ave
EMS (Emergency Medical Services),Lake Chelan Community Hospital EMS,Chelan,-120.01313,47.84569,503 E. Highland Ave
EMS (Emergency Medical Services),Lifeline Ambulance,Wenatchee,-120.31623,47.43101,501 N. Wenatchee
EMS (Emergency Medical Services),Lifeline Ambulance,Wenatchee,-120.2854,47.40541,230 Grant Rd
EMS (Emergency Medical Services),Clallam County FD #2,Port Angeles,-123.53969,48.10076,700 Power Plant Rd
EMS (Emergency Medical Services),Clallam County FD #2,Port Angeles,-123.39286,48.10888,503 N. Baker St
EMS (Emergency Medical Services),Clallam County FD #3,Port Angeles,-123.26924,48.0927,256702 Highway 101
EMS (Emergency Medical Services),Clallam County FD #3,Sequim,-123.18157,48.01064,40 Texas Valley Rd
EMS (Emergency Medical Services),Clallam County FD #3,Sequim,-123.17479,48.08299,255 Carlborg Rd
EMS (Emergency Medical Services),Clallam County FD #3,Sequim,-123.12401,48.14298,4721 Sequim Dungeness Way
EMS (Emergency Medical Services),Clallam County FD #3,Sequim,-123.00481,48.01981,70 Sophus Rd
EMS (Emergency Medical Services),Clallam County FD #3,Sequim,-122.92873,48.0936,323 North 5th Ave
EMS (Emergency Medical Services),Clallam County FD #3,Sequim,-122.92859,48.09015,121 Sunshine Ave
EMS (Emergency Medical Services),Clallam County FD #4,Port Angeles,-123.72896,48.13199,51250 Highway 112
EMS (Emergency Medical Services),Clallam County FD #4,Port Angeles,-123.63564,48.11737,55922 Highway 112
EMS (Emergency Medical Services),Clallam County FD #5,Sekiu,-124.30694,48.26504,Sekiu Airport Rd
EMS (Emergency Medical Services),Clallam County FD #5,Clallam Bay,-124.26104,48.24848,60 Eagle Crest Way
EMS (Emergency Medical Services),Port Angeles Fire Department,Port Angeles,-123.436,48.11491,102 E. 5th St
EMS (Emergency Medical Services),Clallam County Hospital District #1,Forks,-124.39247,47.94601,530 Bogachiel Way
EMS (Emergency Medical Services),Olympic Ambulance,Port Angeles,-123.41551,48.11318,1011 E. Front St
EMS (Emergency Medical Services),Olympic Ambulance,Port Angeles,-123.3796,48.1037,63 Avis St
EMS (Emergency Medical Services),Olympic Ambulance,Sequim,-123.11616,48.08596,601 W. Hendrickson Rd
EMS (Emergency Medical Services),Neah Bay Ambulance Service,Neah Bay,-124.62679,48.36841,141 2nd Ave
EMS (Emergency Medical Services),Neah Bay Ambulance Service,Neah Bay,-124.61378,48.36507,1110 Woodland Ave
EMS (Emergency Medical Services),East County Fire and Rescure,Camas,-122.39927,45.62565,600 NE. 267th Ave
EMS (Emergency Medical Services),East County Fire and Rescure,Camas,-122.37225,45.65823,4909 NE. 292 Ave
EMS (Emergency Medical Services),East County Fire and Rescure,Washougal,-122.35206,45.62283,121 NE. 312th Ave
EMS (Emergency Medical Services),East County Fire and Rescure,Washougal,-122.32716,45.57708,211 39th St
EMS (Emergency Medical Services),East County Fire and Rescure,Washougal,-122.31202,45.60929,1808 SE. 352nd Ave
EMS (Emergency Medical Services),Clark County FD #3,Brush Prairie,-122.49039,45.73848,17718 NE. 159th St
EMS (Emergency Medical Services),Clark County FD #3,Battle Ground,-122.48644,45.81007,18201 NE. 259th St
EMS (Emergency Medical Services),Clark County FD #3,Battle Ground,-122.43932,45.77814,21503 NE. 227th Ave
EMS (Emergency Medical Services),Clark County FD #3,Brush Prairie,-122.41705,45.72706,24812 NE. Rawdon Rd
EMS (Emergency Medical Services),Clark County FD #6,Vancouver,-122.67056,45.68645,8800 NE. Hazel Dell Ave
EMS (Emergency Medical Services),Clark County FD #10,Woodland,-122.5716,45.93057,9813 NE. Cedar Creek Rd
EMS (Emergency Medical Services),Clark County FD #10,La Center,-122.55122,45.89365,37604 NE. 119th Ave
EMS (Emergency Medical Services),Clark County FD #10,Yacolt,-122.51033,45.88973,15718 NE. Fargher Lake Hwy
EMS (Emergency Medical Services),Clark County FD #10,Amboy,-122.45116,45.90964,21705 NE. 399th St
EMS (Emergency Medical Services),Clark County FD #10,Amboy,-122.42115,45.95486,24706 NE. Columviatie Rd
EMS (Emergency Medical Services),Clark County FD #10,Amboy,-122.37919,45.92671,42207 NE. Yale Bridge Rd
EMS (Emergency Medical Services),Clark County FD #13,Yacolt,-122.40965,45.86178,404 S. Parcel Ave
EMS (Emergency Medical Services),Clark County Fire and Rescue,Ridgefield,-122.68309,45.82193,911 N. 65th Ave
EMS (Emergency Medical Services),Camas Fire Department,Camas,-122.40179,45.58673,616 NE. 4th Ave
EMS (Emergency Medical Services),Vancouver Fire Department,Vancouver,-122.6013,45.66846,7110 NE. 63rd St
EMS (Emergency Medical Services),Washougal Fire Department,Washougal,-122.35726,45.57752,1400 A St
EMS (Emergency Medical Services),North Country EMS,Yacolt,-122.40965,45.86178,404 S. Parcel Ave
EMS (Emergency Medical Services),American Medical Response,Vancouver,-122.66718,45.67663,409 NE. 76th St
EMS (Emergency Medical Services),Columbia County FD #1,Starbuck,-118.12831,46.51929,14 McNeil St
EMS (Emergency Medical Services),Columbia County FD #3,Dayton,-117.97111,46.32463,111 Patit Rd
EMS (Emergency Medical Services),Cowlitz County FD #1,Woodland,-122.73576,45.89318,160 Pinkerton Dr
EMS (Emergency Medical Services),Cowlitz County FD #1,Woodland,-122.68485,45.97192,285 Woodland Heights Rd
EMS (Emergency Medical Services),Cowlitz County FD #1,Woodland,-122.66914,45.94014,3148 Lewis River Rd
EMS (Emergency Medical Services),Cowlitz 2 Fire and Rescue,Longview,-123.01664,46.17179,5699 Ocean Beach Way
EMS (Emergency Medical Services),Cowlitz 2 Fire and Rescue,Longview,-122.94352,46.16731,922 Nevad Dr
EMS (Emergency Medical Services),Cowlitz 2 Fire and Rescue,Kelso,-122.91785,46.14079,1796 Hwy 411
EMS (Emergency Medical Services),Cowlitz 2 Fire and Rescue,Kelso,-122.90712,46.14271,701 Vine St
EMS (Emergency Medical Services),Cowlitz 2 Fire and Rescue,Kelso,-122.82792,46.0979,1436 Rose Valley Rd
EMS (Emergency Medical Services),Cowlitz FD #3,Castle Rock,-122.84587,46.26869,1255 S. Silver Lake
EMS (Emergency Medical Services),Cowlitz FD #3,Toutle,-122.74102,46.32253,5055 Spirit Lake Hwy
EMS (Emergency Medical Services),Cowlitz County FD #5,Kalama,-122.84585,46.01042,382 NE. Frontage Rd
EMS (Emergency Medical Services),Cowlitz County FD #5,Kalama,-122.81451,45.97679,415 Todd Rd
EMS (Emergency Medical Services),Cowlitz County FD #5,Woodland,-122.73576,45.89318,160 Pinkerton Dr
EMS (Emergency Medical Services),Cowlitz County FD #6,Castle Rock,-122.90975,46.27476,146 A St
EMS (Emergency Medical Services),Cowlitz-Skamania FD #7,Ariel,-122.51123,45.99666,8020 Lewis River Rd
EMS (Emergency Medical Services),Cowlitz-Skamania FD #7,Ariel,-122.38631,45.99539,11670 Lewis River Rd
EMS (Emergency Medical Services),City of Longview,Longview,-122.93773,46.12679,740 Commerce Ave
EMS (Emergency Medical Services),American Medical Response,Kelso,-122.92128,46.14788,603 Royal St
EMS (Emergency Medical Services),Life Flight Network,Kelso,-122.89715,46.11916,2215 Parrot Way
EMS (Emergency Medical Services),Douglas County FD #2,East Wenatchee,-120.28102,47.41071,377 Eastmont Ave
EMS (Emergency Medical Services),Douglas County FD #2,East Wenatchee,-120.20467,47.40205,200 Airport Way
EMS (Emergency Medical Services),Douglas County FD #2,Rock Island,-120.14396,47.37572,301 Rock Island Dr
EMS (Emergency Medical Services),Douglas County FD #4,Orondo,-120.22796,47.62206,13984 Hwy 2
EMS (Emergency Medical Services),Bridgeport Volunteer Fire and EMS Dept,Bridgeport,-119.67409,48.0093,1206 Columbia Ave
EMS (Emergency Medical Services),Mansfield Ambulance,Mansfield,-119.63912,47.81259,138 Main St
EMS (Emergency Medical Services),Douglas County Hospital District #2,Waterville,-120.071,47.64674,117 S. Chelan St
EMS (Emergency Medical Services),North Ferry County Ambulance,Curlew,-118.74833,48.91168,739 Kettle River Rd
EMS (Emergency Medical Services),North Ferry County Ambulance,Curlew,-118.60894,48.88532,30 Customs Rd
EMS (Emergency Medical Services),Ferry County EMS District #1,Republic,-118.742,48.64436,499 W. 9th St
EMS (Emergency Medical Services),Franklin County FD #3,Pasco,-119.20166,46.24757,2108 Road 84
EMS (Emergency Medical Services),Franklin County FD #3,Pasco,-119.13586,46.29898,7809 N. Road 36
EMS (Emergency Medical Services),Franklin County FD #3,Pasco,-119.00787,46.35759,1200 Frontier Rd
EMS (Emergency Medical Services),Franklin County FD #3,Pasco,-118.83735,46.34904,15401 Pasco Kahlotus Rd
EMS (Emergency Medical Services),Pasco Fire Department,Pasco,-119.17968,46.25768,3203 Road 68
EMS (Emergency Medical Services),Pasco Fire Department,Pasco,-119.120094,46.25881,3502 Varney Ln
EMS (Emergency Medical Services),Pasco Fire Department,Pasco,-119.08104,46.23502,310 N. Oregon Ave
EMS (Emergency Medical Services),Franklin County Public Hospital Dist #1,Mesa,-119.13417,46.5829,22210 Glade N. Rd
EMS (Emergency Medical Services),Franklin County Public Hospital Dist #1,Eltopia,-119.11202,46.45235,12911 Glade N. Rd
EMS (Emergency Medical Services),Franklin County Public Hospital Dist #1,Mesa,-119.00533,46.57782,103 Roswell Ave
EMS (Emergency Medical Services),Franklin County Public Hospital Dist #1,Connell,-118.86322,46.65579,601 S. 1st St
EMS (Emergency Medical Services),American Medical Response,Kennewick,-119.18144,46.2124,4430 W Clearwater Ave
EMS (Emergency Medical Services),Garfield County FD #1,Pomeroy,-117.60317,46.47445,66 North 6th St
EMS (Emergency Medical Services),Grant County FD #3,Quincy,-120.02871,47.07535,807 Boyer Ave SW.
EMS (Emergency Medical Services),Grant County FD #3,Quincy,-119.99432,47.21542,8901 Crescent Bar Rd NW.
EMS (Emergency Medical Services),Grant County FD #3,Quincy,-119.85545,47.08068,101 Richmond Ave
EMS (Emergency Medical Services),Grant County FD #3,Quincy,-119.85402,47.22805,1201 Central Ave S.
EMS (Emergency Medical Services),Grant County FD #3,Quincy,-119.762366,46.986511,12580 Frenchman Hills Rd W.
EMS (Emergency Medical Services),Grant County FD #3,Quincy,-119.69166,47.25081,9392 SR 28 W.
EMS (Emergency Medical Services),Grant County FD #3,Quincy,-119.639579,47.191758,6984 Rd 7 NW.
EMS (Emergency Medical Services),Grant County FD #4,Warden,-119.12541,46.98413,17301 Hwy 262 E.
EMS (Emergency Medical Services),Grant County FD #4,Warden,-119.04231,46.96991,114 N. Oak St
EMS (Emergency Medical Services),Grant County FD #5,Moses Lake,-119.36277,47.11703,6028 Mae Valley Rd NE.
EMS (Emergency Medical Services),Grant County FD #5,Moses Lake,-119.31967,47.17405,1021 Arlington Dr
EMS (Emergency Medical Services),Grant County FD #5,Moses Lake,-119.27805,47.08791,23 Potato Hill Rd
EMS (Emergency Medical Services),Grant County FD #5,Moses Lake,-119.27583,47.26095,11821 Stratford Rd NE
EMS (Emergency Medical Services),Grant County FD #5,Moses Lake,-119.25604,47.11701,11058 Nelson Rd NE.
EMS (Emergency Medical Services),Grant County FD #6,Hartline,-119.10739,47.69041,925 Willard St
EMS (Emergency Medical Services),Grant County FD #7,Soap Lake,-119.49321,47.37344,155 Hwy 28 W.
EMS (Emergency Medical Services),Grant County FD #7,Coulee City,-119.4462,47.57043,31199 Hwy 17
EMS (Emergency Medical Services),Grant County FD #8,Mattawa,-119.90817,46.68025,7 Desert Aire Dr SW.
EMS (Emergency Medical Services),Grant County FD #8,Mattawa,-119.90057,46.73765,510 E. Government Rd
